French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
matin,morning
enfant,child
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
attendez,Wait
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
